	Bit_1	Bit_2	Bit_3	Bit_4	Bit_5	Bit_6	Bit_7	Bit_8	Bit_9	Bit_10	Bit_11	Bit_12	Bit_13	Bit_14	Bit_15	Bit_16	Bit_17	Bit_18
282 POR Spp1 Gly-Gaba	4021	1731	7577	33561	10253	1683	695	62001	1677	7470	29953	1734	105291	471	11120	2997	91749	25809
283 PRP Otp Gly-Gaba	1697	3074	5132	14185	11833	1998	3761	92118	2568	5128	21975	1893	168659	251	21298	2498	44510	17356
284 GRN-IRN-MDRNd Ikzf1 Gly-Gaba	1389	2466	3936	9108	9849	1430	1923	76463	2053	3708	16048	1310	131603	233	19953	1970	29287	13350
285 MY Lhx1 Gly-Gaba	2233	3023	9385	17536	14146	2538	5065	84741	3170	8218	28652	2215	181156	357	25415	3006	59499	23632
286 PPY-PGRNl Vip Glyc-Gaba	2534	2561	8229	17880	16481	2746	4252	124489	3811	9815	30483	2086	212627	393	29012	3688	59664	24607
287 MV-SPIV-PRP Dmbx1 Gly-Gaba	1549	4200	5374	15592	10466	1965	3145	106214	2590	6460	21769	1987	171621	257	17587	2266	46105	16282
288 MDRN Hoxb5 Ebf2 Gly-Gaba	1979	4418	9299	17797	15387	2305	6199	108619	3059	9396	29377	2112	171923	357	26514	2913	59842	23406
289 MDRNd Prox1 Pax6 Gly-Gaba	1310	1780	4842	8538	8003	1341	3475	70564	2077	4872	14728	1373	126547	251	16603	1795	26002	13381
290 MY Prox1 Lmo7 Gly-Gaba	1586	3993	8914	12509	10215	1816	3030	71660	2415	5655	19784	1953	129011	329	18850	2135	39300	17081
291 NTS-MDRNd Prox1 Zic1 Gly-Gaba	1498	1656	6721	8776	8374	1833	2458	78969	2398	4569	15400	1853	125256	290	18487	1816	29690	13132
292 MV Nkx6-1 Gly-Gaba	2095	4633	5611	19495	14711	1317	2871	149353	2990	6449	27346	3218	181480	427	24673	2886	58004	20625
293 PAS-MV Ebf2 Gly-Gaba	1324	1943	4430	12084	8062	1264	2189	89358	2285	5031	16140	1779	115911	221	15084	1997	33468	13076
294 MV Pax6 Gly-Gaba	1422	3597	4945	16410	11585	1433	3206	94409	3100	6338	22104	2229	147945	255	18853	2312	48088	16753
295 CBN Dmbx1 Gaba	1112	3259	4337	12760	10888	1427	4082	129196	2522	7741	19700	2333	154499	278	20754	2155	38292	16426
296 RPA Pax6 Hoxb5 Gly-Gaba	1406	1888	5601	8681	9191	1034	2773	68445	1822	3591	15971	1439	128014	248	19226	2104	28708	14213
298 PRP Gata3 Slc6a5 Gly-Gaba	1717	1890	4151	11681	7895	691	2507	83107	1714	4252	15906	1545	133973	224	16356	2150	31848	13121
299 MARN-PPY Ngfr Gly-Gaba	3595	3122	11188	21468	23241	2776	2369	192085	3176	10220	38441	1693	234149	434	37944	4784	81960	33137
300 PARN-MDRNd-NTS Gbx2 Gly-Gaba	1442	2570	7623	9387	9260	2257	3583	68589	2706	4500	17512	1782	143658	300	21716	2005	32213	14951
301 MV Nr4a2 Gly-Gaba	1672	1450	7209	9097	12034	2194	3286	71767	6296	2682	20104	2419	151086	741	28888	2659	32574	16303
302 MV Xdh Gly-Gaba	2269	1249	5362	16101	8586	1229	2088	52626	2901	4741	20842	1918	117557	222	18222	2187	46835	15158
303 IRN Dmbx1 Pax2 Gly-Gaba	1880	3154	8514	17518	14393	2577	5911	92525	2784	6998	29527	2011	183102	348	28780	3156	59840	22512
304 NTS-PARN Neurod2 Gly-Gaba	1608	2782	6485	9231	8562	1892	4240	79983	2503	3986	16360	1911	134541	243	20937	1922	29471	14997
305 SPVI-SPVC Sall3 Nfib Gly-Gaba	2205	4234	10226	15832	9927	2840	4339	96250	2555	8349	23341	2397	156882	466	19103	2585	52387	18795
306 SPVI-SPVC Sall3 Lhx1 Gly-Gaba	1766	1678	9276	17059	8195	1944	4248	72629	2719	7211	20903	2055	125864	357	14581	2211	48327	18387
307 RO-RPA Pkd2l1 Gaba	774	1290	3842	4073	5867	575	449	76169	1319	1791	9352	945	87134	131	13125	1560	14567	9162
308 DCO Il22 Gly-Gaba	2123	4946	10048	17462	6716	1781	4695	77946	2430	6531	21319	2766	122264	251	12552	2038	51298	18770
309 CB PLI Gly-Gaba	900	1710	3214	8176	3258	838	1484	50796	1473	3849	9267	1371	69688	146	6934	957	20037	7905
310 CBX Golgi Gly-Gaba	1719	3745	9493	17512	8416	5602	2182	114464	2659	6520	25730	2441	142963	293	17313	2030	58766	19143
311 CBX MLI Megf11 Gaba	367	2511	2377	6092	1833	976	1198	43032	903	2663	6219	1196	55921	163	5420	647	12826	6245
312 CBX MLI Cdh22 Gaba	708	1653	2800	7743	2015	908	2084	53926	1234	2717	7284	1281	76628	231	7657	759	15912	6522
313 CBX Purkinje Gaba	4416	4621	27234	47606	16619	20452	18165	645858	4844	32688	70990	14495	233904	393	27290	8510	127908	47954
314 CB Granule Glut	428	207	3026	1844	1128	237	478	39629	569	1920	2807	715	35233	146	3254	529	5272	2934
315 DCO UBC Glut	638	681	1649	4030	2820	437	2407	45162	1422	2104	5593	760	47761	172	5630	975	11406	6516
316 Bergmann NN	838	681	2430	5638	959	973	218	122273	1211	940	5740	276	33615	2191	3944	2578	5551	4604
317 Astro-CB NN	610	394	712	2657	576	482	183	76630	840	849	2760	476	23152	1706	2587	1209	3194	2122
318 Astro-NT NN	322	269	658	3875	797	561	171	73011	654	907	2864	987	17092	1679	2748	1564	3035	2572
319 Astro-TE NN	147	206	712	2605	860	774	152	36655	414	701	2995	1510	10906	1059	2558	987	2623	2864
320 Astro-OLF NN	201	372	981	3242	1147	797	248	51539	506	963	3910	868	17299	1711	3176	1456	3376	2770
321 Astroependymal NN	146	175	576	2789	921	293	150	30919	583	452	3106	2154	8238	1327	2930	1404	2969	3272
322 Tanycyte NN	297	272	1014	2727	3949	511	258	64696	3716	451	5624	959	14910	1786	5912	1502	5313	7600
323 Ependymal NN	136	178	643	2682	792	320	100	27800	753	180	4146	555	7626	537	3313	1144	3381	6282
324 Hypendymal NN	503	245	932	2085	1497	295	300	68350	3913	384	6034	827	20145	245	4817	1271	5189	6020
325 CHOR NN	214	6438	1676	9756	2198	1117	25720	37852	2590	1671	15772	626	10867	4361	12614	14796	17524	22016
326 OPC NN	194	709	1084	1251	735	303	658	23180	670	628	2900	445	22825	244	3231	1110	3393	2735
327 Oligo NN	413	409	1261	1798	1088	153	861	86460	609	1772	4582	246	33621	1695	4436	63537	7907	5832
328 OEC NN	288	236	497	1518	571	78	196	68447	1158	478	2526	274	11462	1962	2306	5240	2557	2396
329 ABC NN	414	318	1241	3071	1362	366	419	66329	1237	522	8150	1306	9851	7891	5758	2574	8045	10329
330 VLMC NN	558	285	945	2093	779	302	199	48064	1867	183	3678	293	6589	8778	2809	1527	3645	5221
331 Peri NN	339	96	420	956	294	220	245	40285	695	141	1510	91	3599	724	953	532	1695	1564
332 SMC NN	588	111	574	3300	614	760	251	66948	3900	173	2648	277	4142	256	1930	978	2894	4094
333 Endo NN	165	118	509	1083	375	167	87	26462	953	163	2441	174	2759	184	1403	807	2730	3927
334 Microglia NN	97	90	621	661	1187	238	266	18650	2497	108	2348	177	3350	107	1401	812	2397	2504
335 BAM NN	156	191	995	1059	662	153	183	27467	1805	113	4277	202	2791	2644	1615	1036	3165	4350
336 Monocytes NN	113	51	528	520	260	233	52	9115	1600	87	1277	169	1688	153	821	431	1414	2020
337 DC NN	217	160	1337	1702	1380	289	355	26296	4350	179	4700	241	3796	281	2839	1366	4777	10589
338 Lymphoid NN	83	37	545	636	266	220	212	12550	455	87	1494	245	1926	59	684	458	1392	3420
